Year,Make,Model,Trim,Body,Transmission,Vehicle Identification Number,Odometer,Seller,Market Price,Selling Price,Sale Date,State
2014,Jeep,Grand Cherokee,Limited,suv,Automatic,1c4rjfbt4ec226918,19846,Kevins Marysville Auto Sales Inc,31800,34000,2015-06-18,Michigan
2007,Mitsubishi,Eclipse,GS,Hatchback,Automatic,4a3ak24f37e002439,149159,Dt Credit Corporation,3100,3800,2015-02-18,Texas
2012,Nissan,Altima,2.5,Sedan,Automatic,1n4al2ap2cc160988,43847,Nissan-Infiniti Lt,11950,12000,2015-03-10,Florida
2013,Chevrolet,Malibu,LS Fleet,Sedan,Automatic,1g11a5sa5du110618,51962,Wheels Exchange Llc,11000,12600,2015-01-21,Florida
2014,Subaru,XV Crosstrek,Premium,SUV,Automatic,jf2gpacc0e8289235,16427,Subaru Of America,21300,21700,2015-01-07,New Jersey
2012,Honda,Civic,LX,Coupe,Automatic,2hgfg3b52ch527510,24634,Ahfc/Honda Lease Trust/Hvt  Inc. Eot,10800,12100,2015-02-13,Pennsylvania
2007,Kia,Sorento,EX,SUV,Automatic,kndjd736475671525,112108,Grow Financial Fcu,5200,5300,2015-01-08,Florida
2010,Honda,Civic,LX,Sedan,Automatic,19xfa1f55ae028014,94173,Ahfc/Honda Lease Trust/Hvt  Inc.,7650,7100,2015-01-15,California
2008,Acura,TL,Base,sedan,Automatic,19uua66228a028013,117209,Pohanka Acura,8775,9400,2015-05-28,Virginia
2013,Nissan,Altima,2.5,sedan,Automatic,1n4al3ap9dc901595,48559,Capital One Auto Finance,11350,11000,2015-06-17,Florida
2008,Hyundai,Elantra,GLS,Sedan,Automatic,kmhdu46d98u484144,132875,Consumer Portfolio Services,3425,3200,2015-01-06,Florida
2013,Ford,Focus,SE,Sedan,Automatic,1fadp3f24dl212773,55445,Dtg Operations Inc,9700,9900,2015-02-05,Illinois
2006,Honda,Accord,EX,Coupe,Automatic,1hgcm72636a022834,88965,Texas Direct Auto,4300,7100,2015-02-04,Texas
2012,Chrysler,200,LX,Sedan,Automatic,1c3ccbab6cn317843,58358,Dtg Operations Inc,9025,9100,2015-01-22,Nebraska
2011,Hyundai,Equus,Signature,Sedan,Automatic,kmhgh4jf7bu035952,20856,Hyundai Motor Finance,27500,27300,2015-01-07,Texas
2013,Ford,F-150,FX4,SuperCrew,Automatic,1ftfw1et7dfc06923,18829,U S Auto Importing & Sales,36100,26500,2015-05-26,Ohio
2013,Lexus,GS 350,Base,Sedan,Automatic,jthbe1bl1d5019803,34912,Lexus Financial Services,33000,33600,2015-01-27,Florida
2008,Honda,CR-V,EX-L,SUV,Automatic,jhlre387x8c036755,73312,Tdaf Remarketing,11150,12000,2015-01-20,Florida
2015,Kia,Cadenza,Premium,Sedan,Automatic,knaln4d78f5181175,17189,Kia Motors America  Inc,20900,20200,2015-06-17,Florida
2013,Toyota,Highlander,Base,SUV,Automatic,5tdza3eh4ds041240,31988,World Omni Financial Corporation,21300,24700,2015-01-27,Florida
2014,Ford,Taurus,Limited,Sedan,Automatic,1fahp2f88eg176578,14501,Avis Budget Group,21400,22000,2015-02-18,Florida
2009,Chevrolet,HHR,LT,Wagon,Automatic,3gnca23b59s628765,121768,Santander Consumer,3450,3300,2015-01-05,North Carolina
2008,Ford,Taurus,SEL,Sedan,Automatic,1fahp27w58g169959,156308,Nicholas Financial Inc/Clearwater,3025,2800,2015-02-26,Florida
2012,Lincoln,MKX,Base,suv,Automatic,2lmdj8jk5cbl18678,11127,Ford Motor Credit Company Llc Pd,27600,28100,2015-06-11,Florida
2012,BMW,7 Series,740Li,Sedan,Automatic,wbakb4c50cc575670,65489,Financial Services Remarketing (Lease),34300,32000,2015-01-13,California
2013,Chevrolet,Silverado 1500,LT,Crew Cab,Automatic,3gcpkse78dg121533,50247,Bill Holt Chevrolet Buick And Gmc Inc,25400,25500,2015-02-04,Tennessee
2013,Hyundai,Veloster,Turbo,hatchback,Manual,kmhtc6ae3du158909,37220,Hyundai Motor Finance,13700,13100,2015-06-02,Florida
2007,Ford,F-150,FX4,SuperCab,Automatic,1ftpx14v17fa39399,103129,Lucas Motor Company,12050,11900,2015-01-07,New Jersey
2012,Land Rover,Range Rover Sport,HSE,suv,Automatic,salsf2d49ca745515,94825,Hoehn Motors Inc,30500,21000,2015-06-18,California
2007,Chrysler,300,Base,Sedan,Automatic,2c3ka43r47h743729,123482,Jimmie Johnson Kearny Mesa Chevrolet,4725,5900,2014-12-16,California
2014,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h74er228717,21153,Lease Plan/Napleton Cadillac,15550,16100,2015-02-18,Florida
2014,Lexus,GS 350,Base,Sedan,Automatic,jthbe1blxe5036567,5020,Lexus Financial Services,40200,36000,2015-02-24,Florida
2012,Toyota,Camry,LE,Sedan,Automatic,4t1bf1fk0cu170325,34835,World Omni Financial Corporation,12750,13200,2015-05-21,Mississippi
2008,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,Automatic,wddng86x78a194848,96204,Rehoboth Beach Motor Cars,21100,23000,2014-12-18,Pennsylvania
2013,Chevrolet,Camaro,SS,Convertible,Automatic,2g1fk3dj8d9204851,57793,The Hertz Corporation,20800,22000,2015-02-19,Arizona
2009,Nissan,Altima,3.5 SE,Sedan,Automatic,1n4bl21ex9c174956,63699,Capital One Auto Finance,11100,9200,2015-02-17,Massachusetts
2014,Ford,E-Series Van,E-250,E-Series Van,Automatic,1ftne2ew4eda17481,14007,U-Haul,21700,21400,2015-02-17,Florida
2012,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al2ap8cc136064,27099,Nissan-Infiniti Lt,12950,12800,2014-12-23,Florida
2008,Chevrolet,Malibu Classic,LS Fleet,sedan,Automatic,1g1zs58f18f124254,103594,First Hyundai,4100,4000,2015-06-02,Massachusetts
2014,Hyundai,Santa Fe Sport,Sport,SUV,Automatic,5xyztdlbxeg167566,32333,Avis Corporation,18400,18000,2015-06-02,Missouri
2007,Chrysler,300,Base,Sedan,Automatic,2c3ka43r47h606614,81329,Wells Fargo Dealer Services,6850,7100,2015-02-26,California
2012,Toyota,Corolla,L,sedan,Automatic,2t1bu4eexcc912637,63881,World Omni Financial Corporation,8825,9300,2015-06-09,Florida
2007,Jeep,Grand Cherokee,Laredo,SUV,Automatic,1j8gr48kx7c655804,76995,Gm Financial,9325,11500,2015-03-03,Colorado
2011,Ford,Fusion,SE,Sedan,Automatic,3fahp0ha0br268079,49503,Auto Centers Bonne Terre Llc,9325,10800,2015-01-27,Missouri
2012,Ford,F-150,XLT,SuperCab,Automatic,1ftex1emxcfb41548,23606,Crest Ford Inc,24500,23500,2015-02-12,Michigan
2007,Honda,Civic,LX,Sedan,Automatic,1hgfa165x7l027913,151727,Boyd Chevrolet Buick Gmc,4050,6000,2015-01-19,North Carolina
2009,Chevrolet,Malibu,LT1,Sedan,Automatic,1g1zh57bx94263342,67393,Exceptional Motorcar Llc,7850,8600,2015-02-03,Ohio
2012,Nissan,Rogue,S,SUV,Automatic,jn8as5mv8cw358034,39115,Nissan-Infiniti Lt,13200,12600,2015-05-21,Illinois
2014,Ram,1500,Sport,crew cab,Automatic,1c6rr7mt6es479523,18601,Budget Rent A Car/Kansas City Funding Llc,33800,34000,2015-06-17,Missouri
2012,Toyota,Camry,SE,sedan,Automatic,4t1bf1fk4cu080000,28076,World Omni Financial Corporation,13750,13900,2015-06-18,Georgia
2014,Ford,Focus,SE,Sedan,Automatic,1fadp3f20el296494,23068,Avis Budget Group,12100,12800,2015-01-07,Florida
2012,Chevrolet,Malibu,LT,Sedan,Automatic,1g1zc5e02cf198515,39193,Jpmorgan Chase Bank N.A.,10800,8800,2015-02-11,Wisconsin
2013,Chevrolet,Sonic,LT,Sedan,Automatic,1g1jc5sh8d4201101,24362,Northeast Leasing,9575,8700,2015-02-18,New Jersey
2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,Sedan,Automatic,wddgf8ab7da833280,68042,Mercedes-Benz Financial Services,21900,20000,2015-02-04,Georgia
2013,Chevrolet,Impala,LT Fleet,Sedan,Automatic,2g1wg5e35d1242792,41075,Ruan Car Sales Inc,10900,11400,2015-01-22,Nebraska
2014,Ram,1500,Tradesman,crew cab,Automatic,1c6rr7kt4es380315,12320,Chrysler Capital,27100,27700,2015-06-17,Texas
2008,Honda,CR-V,EX,suv,Automatic,jhlre38568c000771,71663,Go Financial,10100,7000,2015-06-03,Florida
2014,Chrysler,300,Base,Sedan,Automatic,2c3ccarg9eh260513,17620,Enterprise Veh Exchange/Rental,22300,21300,2015-02-03,Maryland
2013,Ford,Escape,SE,SUV,Automatic,1fmcu9gx1dud41703,74037,Elk River Ford Merc,13000,13000,2014-12-23,Minnesota
2012,Chevrolet,Volt,Base,Hatchback,Automatic,1g1ra6e45cu124239,93086,Sutton Ford/Ge,8525,8600,2015-01-14,Missouri
2004,Mitsubishi,Lancer,O-Z Rally,Sedan,Automatic,ja3aj86e44u018209,102641,First Chrysler Dodge  Jeep  Ram,2600,2300,2015-03-10,Massachusetts
2012,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al2ap9cc156310,20555,Nissan-Infiniti Lt,12800,12300,2015-01-22,Illinois
2012,Chevrolet,Impala,LT Fleet,Sedan,Automatic,2g1wg5e33c1296025,45380,Enterprise Veh Exchange/Rental,10000,10400,2014-12-23,Maryland
2014,BMW,3 Series,320i,Sedan,Automatic,wba3b1c5xef078517,18899,Financial Services Remarketing (Lease),21700,21000,2015-05-27,California
2000,Toyota,Camry,CE,sedan,Automatic,4t1bg22kxyu981128,196309,Boch New To You Superstore,1225,1300,2015-05-28,Massachusetts
2013,Infiniti,JX,JX35,SUV,Automatic,5n1al0mm6dc310811,49428,Nissan Infiniti Lt,28700,29800,2015-05-27,Tennessee
2010,Cadillac,DTS,Luxury,Sedan,Automatic,1g6kd5ey4au133897,31035,R Hollenshead Auto Sales Inc,17500,16200,2015-01-16,Pennsylvania
2013,Honda,Odyssey,Touring,Minivan,Automatic,5fnrl5h91db071021,37787,Sullivan Auto Group Llc,28700,29600,2015-02-04,Tennessee
2011,Nissan,Rogue,S,SUV,Automatic,jn8as5mv1bw681243,40180,Nissan-Infiniti Lt,12350,14000,2015-02-03,California
2012,Volkswagen,Jetta,SE PZEV,Sedan,Automatic,3vwdp7aj7cm339057,36883,Power Drive Inc,10050,12300,2014-12-17,California
2014,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h73er138250,42337,Ars/Avis Budget Group,14450,14200,2015-01-28,Missouri
2007,Dodge,Durango,SLT,SUV,Automatic,1d8hd48p57f543997,111392,Dt Credit Corporation,5500,5600,2015-02-11,Texas
2012,Dodge,Avenger,SE,Sedan,Automatic,1c3cdzab2cn182110,57475,Fiserv/Crescent Bank & Trust,8675,8500,2015-05-28,Indiana
2012,Ford,Fusion,SE,Sedan,Automatic,3fahp0ha5cr183837,9181,Ford Motor Credit Company Llc,13000,14200,2015-01-07,New Jersey
2008,BMW,3 Series,328xi,Sedan,Automatic,wbavc93538k044046,42659,Erhard Bmw,11850,10400,2014-12-18,Michigan
2014,Ford,Fusion,Titanium,Sedan,Automatic,3fa6p0k91er187392,30394,Ford Motor Credit Company,19450,19600,2015-01-21,Florida
2009,Volkswagen,CC,Luxury,Sedan,Automatic,wvwhl73c49e539584,52179,Progressive Remarketing,11300,3400,2015-03-03,Minnesota
2005,Jeep,Grand Cherokee,Limited,SUV,Automatic,1j4hr58n95c614373,112765,Genuine Motorcars Inc,6475,7500,2015-02-19,Florida
2011,Dodge,Grand Caravan,Mainstreet,Minivan,Automatic,2d4rn3dg1br795928,67140,Ari,9825,11400,2015-01-15,Minnesota
2014,Kia,Sorento,LX,SUV,Automatic,5xyktca69eg446685,55201,The Hertz Corporation,14350,14500,2015-05-28,Texas
2013,Toyota,Camry,L,sedan,Automatic,4t1bf1fk6du270057,49414,Hertz Car Exchange Inc/Oklahoma City,12100,11500,2015-06-10,Minnesota
2009,Mercedes-Benz,GL-Class,GL550,SUV,Automatic,4jgbf86e09a498566,114204,Don'S Wholesale Llc,21300,20600,2015-02-25,Louisiana
2014,FIAT,500L,Easy,wagon,Automatic,zfbcfabh0ez002874,18798,Fca Us Llc,11950,10200,2015-06-04,Virginia
2006,Jeep,Liberty,Renegade,SUV,Automatic,1j4gk38k36w233046,182874,Carolina Trust Fcu,2775,2400,2015-02-26,South Carolina
2005,Chevrolet,Astro Cargo,Base,Minivan,Automatic,1gcdm19x95b133802,173497,Fleet Lease Disposal,2475,2300,2015-01-13,Oregon
2013,Toyota,Sienna,LE 7-Passenger Mobility Auto Access,Minivan,Automatic,5tdkk3dc4ds338352,62069,The Hertz Corporation,16850,16300,2015-03-04,Florida
2013,Nissan,Leaf,S,Hatchback,Automatic,1n4az0cp7dc401090,17849,Nissan-Infiniti Lt,13600,13100,2015-01-14,California
2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,Automatic,2g1wc5e39e1154812,15168,Gm Remarketing,15150,15000,2015-02-23,Florida
2013,Infiniti,G Sedan,G37x,G Sedan,Automatic,jn1cv6ar9dm751405,13621,Nissan Infiniti Lt,22500,20400,2015-03-04,Texas
2014,Ford,Explorer,Limited,SUV,Automatic,1fm5k8f82ega14701,38589,Avis Corporation,28900,28750,2015-01-22,California
2014,Dodge,Grand Caravan,R/T,Minivan,Automatic,2c4rdgeg8er385525,21311,Enterprise Holdings/Gdp,19050,17400,2015-02-12,Illinois
2009,Chrysler,Town and Country,Touring,Minivan,Automatic,2a8hr54109r643291,118121,1St Source Bank,6950,5900,2015-02-03,Missouri
2007,Chrysler,Town and Country,Touring,Minivan,Automatic,2a4gp54l77r209211,146498,United Fcu,2950,2200,2015-03-03,North Carolina
2012,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al2ap5cc179860,40401,Nissan-Infiniti Lt,11650,13600,2015-02-17,Florida
2013,Ford,Focus,SE,Sedan,Automatic,1fadp3f29dl276405,38238,Ford Motor Credit Company Llc,9925,11300,2015-05-28,Michigan
2013,Ford,Focus,SE,Sedan,Automatic,1fadp3f26dl169215,45719,Ford Motor Credit Company Llc,10150,8700,2015-02-12,Michigan
2001,GMC,Sierra 1500,SLE,Extended Cab,Automatic,2gtek19t511344660,124905,Boch Honda West,5525,4300,2015-02-17,Massachusetts
2013,Ford,C-Max Energi,SEL,Wagon,Automatic,1fadp5cu0dl515017,63000,Ge Fleet Services For Itself/Servicer,11850,10200,2015-02-05,Texas
2009,Dodge,Journey,SXT,suv,Automatic,3d4gg57v09t529752,83758,Dt Credit Corporation,7725,8600,2015-06-18,Ohio
2012,Ford,Focus,Titanium,Hatchback,Automatic,1fahp3n2xcl189081,31071,Ford Motor Credit Company Llc,13250,11500,2015-01-07,Texas
2012,Chevrolet,Sonic,LT,hatchback,Automatic,1g1jc6sb8c4217511,27923,Gm Financial,8725,10300,2015-06-16,Oregon
2005,Chevrolet,Silverado 1500,Z71,Extended Cab,Automatic,1gcek19b55e274640,139723,Wells Fargo Dealer Services,8475,9000,2015-02-03,Maryland
2008,Lexus,IS 250,Base,Sedan,Automatic,jthck262682027388,45004,Primeritus Remarketing/Dai,16100,16900,2015-03-09,North Carolina
2013,Dodge,Grand Caravan,SE,Minivan,Automatic,2c4rdgbg4dr723246,42203,Ez Rent A Car/Orlando,12550,12500,2015-01-16,Nevada
2012,Mercedes-Benz,S-Class,S350 BlueTEC 4MATIC,Sedan,Automatic,wddng8db0ca420499,48305,Mercedes-Benz Financial Services,38000,42750,2015-02-26,California
2009,Ford,Econoline Wagon,E-350 Super Duty XL,Van,Automatic,1fbne31l59da46709,99355,Lenders Fleet Services,10450,9500,2014-12-23,Massachusetts
2006,Kia,Optima,EX,Sedan,Automatic,knage124565056739,133051,Santander Consumer,2875,3000,2015-02-23,North Carolina
2011,Chevrolet,Malibu,LT1,Sedan,Automatic,1g1zc5eu9bf292702,93518,Santander Consumer,7875,8600,2015-03-03,Georgia
2012,Ford,Taurus,SHO,Sedan,Automatic,1fahp2kt1cg139296,23365,Ford Motor Credit Company Llc Pd,22400,21700,2015-02-05,California
2003,Jeep,Grand Cherokee,Laredo,SUV,Automatic,1j4gx48s53c577627,101840,Achieva Credit Union,2950,3400,2015-02-12,Florida
2011,GMC,Yukon XL,Denali,SUV,Automatic,1gks1mef9br271040,85651,Rlb Investments,24600,24800,2015-01-14,Texas
2013,Chevrolet,Sonic,LT,Hatchback,Automatic,1g1jc6sh8d4198867,40777,The Hertz Corporation,8350,8000,2015-06-18,Illinois
2002,Chevrolet,Impala,Base,Sedan,Automatic,2g1wf55e129323646,104641,Smart Finance,1700,1600,2015-01-22,Nevada
2008,Ford,Escape,XLT,SUV,Automatic,1fmcu93188kb42294,154785,Wells Fargo Dealer Services,4450,4200,2015-03-03,Maryland
2005,Hyundai,Tucson,GLS,SUV,Automatic,km8jn72d95u125346,104363,Lucas Motor Company,4550,4600,2015-01-14,New Jersey
2012,Nissan,Altima,2.5 S,Sedan,Automatic,1n4al2ap0cn483067,27383,Nissan-Infiniti Lt,12800,16200,2015-03-04,Florida
2012,Volkswagen,Jetta,Base,Sedan,Manual,3vw1k7aj2cm336732,32681,Vw Credit Prequalified,9025,10400,2015-02-10,Florida
2013,Volkswagen,Passat,SE PZEV,Sedan,Automatic,1vwbp7a31dc016182,20224,Vw Credit  Inc,14600,13800,2015-02-11,New Jersey
2000,Honda,S2000,Base,Convertible,Manual,jhmap1148yt007357,173910,Aaero Sweet Company,3650,7000,2015-01-21,California
2008,Toyota,Sienna,XLE 7-Passenger,Minivan,Automatic,5tdzk22c08s160599,84926,Ak International Inc,12200,13700,2015-02-25,California
2014,Subaru,Impreza WRX,Base,Sedan,Manual,jf1gv7e69eg006180,12108,Bob Baker Volkswagen Subaru,25700,25000,2015-03-04,California
2014,Ford,Focus,SE,hatchback,Automatic,1fadp3k2xel180516,4442,First Investors Servicing Corp,13300,13000,2015-05-28,Florida
2006,Chevrolet,Equinox,LS,SUV,Automatic,2cndl23f466208043,105662,Black Tie Classics Llc,4475,3900,2015-02-04,New Jersey
2013,Cadillac,ATS,Luxury,Sedan,Automatic,1g6ab5r37d0130763,44875,The Hertz Corporation,18400,19100,2015-01-27,Maryland
1999,Volkswagen,Jetta,GLS (1999.5),sedan,Manual,3vwsc29m6xm089546,199869,Courtesy Kia Of Brandon,625,300,2015-06-11,Florida
2005,Dodge,Neon,SXT,sedan,Automatic,1b3es56c85d145142,89117,Lithia Hyundai Of Fresno,1700,2500,2015-05-28,California
2014,Ford,Escape,Titanium,SUV,Automatic,1fmcu0j95eua12431,15357,Ford Motor Credit Company Llc Pd,22200,24400,2015-06-02,Missouri
2013,Ford,Explorer,Base,SUV,Automatic,1fm5k7b88dgb50880,38100,Ford Motor Credit Company Llc Pd,19650,18200,2015-01-06,Georgia
2012,Ford,Edge,Limited,suv,Automatic,2fmdk4kc5cba65970,46021,Ford Motor Credit Company Llc,20500,20100,2015-06-17,New York
2004,Ford,Mustang,Base,Coupe,Automatic,1fafp40694f188656,81091,Credit Acceptance Corp/Vrs/Southfield,3275,5000,2015-02-25,California
2013,Nissan,Leaf,SV,Hatchback,Automatic,1n4az0cp1dc403322,20759,Nissan-Infiniti Lt,12850,12600,2015-02-18,Tennessee
2012,Dodge,Journey,Crew,SUV,Automatic,3c4pdcdg7ct290577,34147,Texas Auto Brokers,16700,16700,2015-05-27,Texas
2010,GMC,Terrain,SLT-1,suv,Automatic,2ctalfew1a6297949,57995,The Auto Group Inc,14550,13000,2015-06-03,New Jersey
2012,Chevrolet,Silverado 3500HD,LTZ,Crew Cab,Automatic,1gc4k1c82cf142225,72139,Stanley Chevrolet Buick Gmc Gatesville,36900,35600,2015-06-03,Texas
2007,Chevrolet,Silverado 1500,LT2,Crew Cab,Automatic,2gcec13j071522908,216830,Santander Consumer,7250,7900,2015-02-18,Texas
2011,BMW,3 Series,328i,Coupe,Automatic,wbake5c51be755076,59312,Prestige Auto Wholesale Inc,18000,18000,2015-01-06,California
2014,Dodge,Journey,SXT,SUV,Automatic,3c4pdcbg4et178339,25440,Enterprise Veh Exchange/Rental,15850,16600,2015-01-23,Nevada
2012,Honda,CR-V,EX-L,SUV,Automatic,jhlrm4h77cc015265,21129,Adcock Brothers Inc,22100,23400,2015-02-13,Pennsylvania
2013,Infiniti,G Sedan,G37x,G Sedan,Automatic,jn1cv6ar3dm755692,7676,Nissan Infiniti Lt,23200,19200,2015-02-18,Texas
2008,Honda,Pilot,EX-L,SUV,Automatic,5fnyf28588b014156,96739,Ahfc/Honda Lease Trust/Hvt  Inc.,10700,9500,2015-01-09,Pennsylvania
2009,Nissan,Sentra,2,Sedan,Automatic,3n1ab61ex9l645432,142084,Browns Fairfax Nissan,3650,1300,2015-05-28,Virginia
2012,Nissan,Rogue,S,SUV,Automatic,jn8as5mv2cw399789,36157,Nissan-Infiniti Lt,14350,15100,2015-03-04,Missouri
2014,Hyundai,Santa Fe Sport,Sport,SUV,Automatic,5xyztdlb7eg152510,20321,Enterprise Veh Exchange/Rental,19450,20200,2015-01-15,Minnesota
2012,Acura,MDX,Technology and Entertainment Packages,SUV,Automatic,2hnyd2h46ch518845,37587,Trade In Solutions Irvine,29200,31000,2014-12-16,California
2013,Dodge,Grand Caravan,SXT,Minivan,Automatic,2c4rdgcg1dr757840,22900,Chrysler Group Llc,14550,15600,2015-02-16,Florida
2012,Ford,Edge,SEL,SUV,Automatic,2fmdk3jc7cba87318,34898,Ford Motor Credit Company Llc,19650,18900,2015-03-04,Tennessee
2012,Honda,Civic,Hybrid,Sedan,Automatic,jhmfb4f31cs007852,51745,Ahfc/Honda Lease Trust/Hvt  Inc. Eot,12550,14900,2015-01-29,California
2012,Ford,Escape,XLT,SUV,Automatic,1fmcu0d72ckb04552,22150,Ford Motor Credit Company Llc Pd,15450,15500,2015-05-28,Florida
2010,Lincoln,MKZ,Base,Sedan,Automatic,3lnhl2jc9ar607266,39151,Stratton Auto Sales Inc,13400,13500,2015-03-10,Ohio
2003,Ford,Expedition,XLT Value,SUV,Automatic,1fmpu16w13lb68197,154786,All American Ford Inc,2175,2800,2015-02-25,New Jersey
2007,Toyota,Camry,LE,Sedan,Automatic,4t1be46k37u684809,111222,Bank Of America,6950,7000,2015-03-10,Texas
2012,Kia,Sedona,LX,Minivan,Automatic,kndmg4c73c6475074,65113,Dtg Operations Inc,10300,9900,2015-03-03,Florida
2012,Cadillac,CTS,Luxury,Sedan,Automatic,1g6dg5e57c0143145,50301,Gm Financial Leasing,18650,18200,2015-05-29,Pennsylvania
1995,Toyota,Tacoma,Base,Regular Cab,Manual,4taun41b2sz064495,221143,Remarketing By Ge/Manheim Southern California,1425,1700,2015-02-19,California
2014,Lincoln,Navigator,Base,SUV,Automatic,5lmjj2j50eel00938,36714,Ars/Avis Budget Group,39200,36800,2015-05-27,Minnesota
2007,Toyota,Camry,LE,Sedan,Automatic,4t1be46k77u022361,142323,Adk Auto Brokers Inc,5975,4400,2015-02-12,New York
2014,Toyota,Corolla,LE,Sedan,Automatic,5yfburhe2ep087687,34060,Avis Corporation,13050,12900,2015-02-26,Florida
2013,Ford,Explorer,XLT,SUV,Automatic,1fm5k7d88dgc33741,20460,Ford Motor Credit Company Llc,23400,25000,2015-06-24,Tennessee
2008,Toyota,Highlander Hybrid,Base,SUV,Automatic,jteew41a482017687,95064,Porter Nissan Buick,11200,11500,2015-01-02,Pennsylvania
2014,Nissan,Sentra,S,Sedan,Automatic,3n1ab7ap0el639107,32310,Avis Corporation,10750,11400,2015-05-27,Texas
2011,BMW,3 Series,328i xDrive,Sedan,Automatic,wbapk7g56bnn86709,25115,Financial Services Remarketing (Lease),21000,22000,2014-12-17,Wisconsin
2013,Hyundai,Elantra,GLS,sedan,Automatic,5npdh4ae1dh445531,22625,Hyundai Of New Port Richey,11300,11700,2015-05-28,Florida
2014,Infiniti,Q50,Base,Sedan,Automatic,jn1bv7ap7em676348,18443,Nissan North America Inc.,27200,28600,2015-02-25,Tennessee
2013,FIAT,500,C Pop,Convertible,Manual,3c3cffdr2dt742369,25283,K A Dealer,8775,7100,2015-06-03,Texas
2007,Pontiac,Grand Prix,Base,Sedan,Automatic,2g2wp552671203295,139729,Mark One Financial,3375,2900,2015-02-18,Texas
2007,Lexus,LS 460,Base,sedan,Automatic,jthbl46f675005928,75648,Cire Leasing,19750,21100,2015-06-02,Florida
2004,Dodge,Intrepid,SE,Sedan,Automatic,2b3hd46r64h608760,212732,Coggin Nissan,325,850,2015-02-12,Florida
1999,Cadillac,Eldorado,Touring,Coupe,Automatic,1g6et1292xu609319,170932,Hennessy Mazda Buick Gmc,300,400,2015-02-03,Georgia
2007,Lexus,RX 350,Base,SUV,Automatic,2t2hk31u47c035572,128147,R Hollenshead Auto Sales Inc,10850,9900,2015-02-20,Pennsylvania
2012,Nissan,Maxima,3.5 SV,Sedan,Automatic,1n4aa5ap1cc807047,38499,Nissan-Infiniti Lt,17000,18500,2015-01-20,Illinois
2013,Kia,Optima,SX,Sedan,Automatic,5xxgr4a68dg233854,15561,Hyundai Motor Finance,21300,22600,2015-06-02,Ohio
1996,Toyota,Camry,LE,Sedan,Automatic,4t1bg12k3tu933179,221197,Dt Inventory,825,1200,2015-03-03,North Carolina
2006,Chevrolet,Silverado 2500HD,LT3,Crew Cab,Automatic,1gchk23u36f192916,87930,San Diego Sports Cars,15500,19250,2015-01-28,California
2013,Nissan,Altima,2.5,Sedan,Automatic,1n4al3ap3dn526159,56513,The Hertz Corporation,11950,11900,2015-02-25,Wisconsin
2011,Nissan,Rogue,SV,SUV,Automatic,jn8as5mv1bw312849,31223,Nissan-Infiniti Lt,15850,16900,2015-01-28,New Jersey
2014,Nissan,Versa Note,1.6 SV,Hatchback,Automatic,3n1ce2cp7el381619,27693,Southeastern Car & Truck Rental,10200,9500,2015-02-03,Florida
2012,Honda,Accord,LX,Sedan,Automatic,1hgcp2f37ca078278,24862,Ahfc/Honda Lease Trust/Hvt  Inc. Eot,12750,13800,2015-01-15,California
2014,Ford,Edge,SE,SUV,Automatic,2fmdk3gc7eba24472,4807,Crb Auto Finance,20100,18300,2015-06-11,Texas
2013,Lincoln,MKX,Base,SUV,Automatic,2lmdj8jk1dbl12975,33424,Ford Motor Credit Company Llc,27800,28500,2015-01-28,Michigan
2013,Chevrolet,Impala,LT Fleet,Sedan,Automatic,2g1wg5e36d1236080,44557,Dtg Operations Inc,9825,10100,2015-06-03,California
2014,Dodge,Journey,Crossroad,suv,Automatic,3c4pdcgb1et289122,5021,Chrysler Capital,19300,18000,2015-06-16,Tennessee
2011,Volkswagen,Jetta,SE PZEV,Sedan,Automatic,3vwdz7ajxbm361983,24027,Darcars Toyota,9400,5600,2015-01-06,Maryland
2012,Ram,1500,Sport,quad cab,Automatic,1c6rd7ht9cs217128,32691,Automobiles Paille Inc,24200,23300,2015-06-18,Michigan
2002,Ford,Escape,XLS Choice,SUV,Automatic,1fmyu021x2kb01692,101235,All American Ford Inc,2600,3100,2015-02-04,New Jersey
2005,Cadillac,DeVille,Base,Sedan,Automatic,1g6kd54y75u212875,113194,Automobile Acceptance Corp,2750,2000,2015-01-08,Georgia
2010,Chrysler,Sebring,Touring,Sedan,Automatic,1c3cc4fb7an162706,87186,Santander Consumer,5975,6900,2015-01-08,Florida
2010,Hyundai,Genesis,3.8,Sedan,Automatic,kmhgc4de3au099938,51260,Pauley Motor Car Co Preowned Vehicles Llc,13150,15000,2015-03-03,Ohio
2013,Toyota,Camry,LE,Sedan,Automatic,4t1bf1fk6du219089,52683,The Hertz Corporation,13100,12400,2015-01-20,Georgia
2012,Hyundai,Elantra Touring,GLS,Hatchback,Automatic,kmhdc8ae7cu142971,42358,Hyundai Motor Finance,9925,11000,2015-02-17,Florida
